#{"t_start": 1769933814.9853432, "env_id": "None"}
r,l,t,success,collision,timeout
6.828376,1136,36.75335,True,False,False
-0.3705882,632,56.780002,True,False,False
5.036218,1999,118.904231,False,False,False
0.11275419,1999,180.605255,False,False,False
2.356352,652,199.585628,True,False,False
6.0056806,1999,260.244957,False,False,False
-2.419247,1999,315.81261,False,False,False
1.4532043,302,325.172177,True,False,False
0.31959996,1999,387.589165,False,False,False
-1.4056107,1999,450.779014,False,False,False
-0.3859421,393,463.512683,True,False,False
-0.59688103,1999,526.58784,False,False,False
2.397064,404,539.636854,True,False,False
-1686.7642,1999,598.561899,False,True,False
2.5819309,1999,661.871353,False,False,False
1.9016799,529,678.571512,True,False,False
6.002603,906,705.269637,True,False,False
3.0217474,695,724.187062,True,False,False
-5.776141,1999,785.820238,False,False,False
0.124966495,476,801.585928,True,False,False
0.5686059,1556,845.323093,True,False,False
1.9374382,1999,909.096631,False,False,False
-1.3342602,1999,977.238744,False,False,False
2.8874395,837,1005.762099,True,False,False
2.1086996,311,1015.040615,True,False,False
2.1045134,813,1040.820258,True,False,False
3.7502797,720,1063.870997,True,False,False
1.9725796,1999,1131.249122,False,False,False
2.4276175,455,1145.604089,True,False,False
0.5383739,423,1159.624883,True,False,False
-1.2777327,1999,1227.024745,False,False,False
6.135592,822,1253.767476,True,False,False
-2.0925899,531,1271.542854,True,False,False
4.3651857,1999,1335.403558,False,False,False
2.0821106,512,1352.677495,True,False,False
2.8141117,675,1373.644324,True,False,False
6.223724,648,1395.171544,True,False,False
2.708016,1999,1461.920936,False,False,False
1.9700462,855,1490.305882,True,False,False
0.87189066,1999,1550.330619,False,False,False
3.8546143,558,1569.481248,True,False,False
4.31295,1140,1605.233332,True,False,False
-0.4306119,1999,1669.783082,False,False,False
5.2050343,507,1686.948874,True,False,False
1.9150064,336,1697.364941,True,False,False
3.508324,1999,1763.250766,False,False,False
1.8643259,1999,1826.956982,False,False,False
1.1320456,1999,1895.327488,False,False,False
-0.30477482,315,1905.749179,True,False,False
-0.0666361,1999,1971.345567,False,False,False
2.5338178,1999,2032.602203,False,False,False
3.1330912,559,2050.200289,True,False,False
-0.7043129,626,2069.86752,True,False,False
2.3025165,1999,2130.3184,False,False,False
-2.249814,1999,2189.119483,False,False,False
-0.7179494,1999,2253.502965,False,False,False
3.1296074,584,2272.435856,True,False,False
4.587554,1999,2335.550069,False,False,False
0.26409176,358,2347.668504,True,False,False
-0.7310772,1999,2410.220008,False,False,False
2.6912112,1999,2474.72143,False,False,False
1.7867596,1999,2535.971352,False,False,False
-1.0822192,567,2555.094273,True,False,False
1.9466413,1063,2589.654924,True,False,False
-0.25007415,1999,2652.953695,False,False,False
1.8038443,1999,2715.580106,False,False,False
7.895751,1999,2769.740054,False,False,False
-4.2324905,510,2787.278606,True,False,False
7.004229,599,2805.297492,True,False,False
-1.4729598,1999,2870.346045,False,False,False
5.530905,830,2896.129046,True,False,False
0.084781714,1999,2959.556287,False,False,False
-0.49768412,788,2984.196871,True,False,False
8.476286,1999,3051.18073,False,False,False
1.4597775,440,3065.737288,True,False,False
-3.012823,292,3075.505507,True,False,False
1.8140548,400,3088.748991,True,False,False
2.8400433,1999,3155.1917,False,False,False
1.9457649,582,3174.982651,True,False,False
1.1031545,406,3187.833982,True,False,False
-0.7201998,519,3205.017542,True,False,False
4.4288526,1999,3269.002157,False,False,False
1.1626537,532,3287.015808,True,False,False
-3.223832,1999,3352.352757,False,False,False
2.6630058,579,3369.659126,True,False,False
3.0720015,411,3382.802508,True,False,False
0.3988665,1214,3418.700459,True,False,False
1.5467366,326,3428.409679,True,False,False
-0.8355569,561,3446.101385,True,False,False
0.7734436,1999,3501.929456,False,False,False
5.543863,1999,3564.244672,False,False,False
2.607597,1999,3628.819121,False,False,False
-0.4874227,1999,3696.795616,False,False,False
4.6124315,1999,3761.31264,False,False,False
-0.7876497,1999,3826.730531,False,False,False
0.32393762,1076,3862.937879,True,False,False
1.0815283,873,3889.221743,True,False,False
2.4917934,306,3899.071621,True,False,False
3.0613222,628,3918.063622,True,False,False
-2.2388878,1999,3979.53893,False,False,False
0.33391002,1999,4038.639457,False,False,False
4.1639752,644,4060.682755,True,False,False
2.4154024,609,4080.113848,True,False,False
4.9232445,1999,4146.621242,False,False,False
3.9987586,1999,4212.023859,False,False,False
7.343961,1999,4271.981175,False,False,False
-1.6871713,864,4300.857818,True,False,False
5.7162604,549,4319.291222,True,False,False
3.368734,1999,4381.032546,False,False,False
2.7680101,632,4403.03906,True,False,False
7.4651875,1999,4457.457049,False,False,False
3.4594347,589,4476.949287,True,False,False
-1.5463983,1999,4538.15956,False,False,False
-0.12630694,1999,4602.841493,False,False,False
3.7080348,1999,4669.134467,False,False,False
2.8815768,356,4681.309103,True,False,False
4.0077686,961,4711.950807,True,False,False
1.5718751,1999,4768.743143,False,False,False
-0.33153635,1999,4830.591775,False,False,False
0.10307049,1999,4898.224715,False,False,False
0.23272522,788,4924.167765,True,False,False
4.629449,885,4954.475129,True,False,False
2.7936985,1999,5012.669516,False,False,False
-1.4114909,1999,5076.368904,False,False,False
0.37804654,684,5097.600223,True,False,False
9.95921,1828,5153.327723,True,False,False
0.8191249,784,5179.052912,True,False,False
-5.8715253,1999,5236.593751,False,False,False
2.425509,542,5254.668463,True,False,False
0.5838043,1999,5320.022285,False,False,False
2.2537255,1999,5385.536407,False,False,False
0.889581,1999,5448.534968,False,False,False
-0.19018432,1999,5511.168518,False,False,False
-5.3879933,1999,5569.168024,False,False,False
1.9021336,1999,5630.677566,False,False,False
1.8282866,301,5640.635932,True,False,False
-0.10723603,1999,5704.169669,False,False,False
4.6193247,1999,5771.444922,False,False,False
0.17804568,1999,5829.928282,False,False,False
1.109875,1999,5887.861351,False,False,False
-0.8729809,582,5906.312568,True,False,False
1.3578902,1999,5960.203274,False,False,False
-1.4428355,1999,6026.195122,False,False,False
-0.26704445,618,6045.718438,True,False,False
4.0275445,1173,6081.65253,True,False,False
0.32265767,1999,6148.078068,False,False,False
0.16027364,1999,6205.997437,False,False,False
-2.9528494,1999,6266.820673,False,False,False
0.97319996,327,6277.495664,True,False,False
0.9065265,315,6286.702471,True,False,False
1.8523713,1999,6346.312233,False,False,False
4.201233,1999,6404.104691,False,False,False
1.4137799,429,6417.128428,True,False,False
1.7214036,1999,6479.954624,False,False,False
2.0738118,1999,6538.637893,False,False,False
-909.53253,1999,6599.671615,False,True,False
3.0193992,1999,6663.854292,False,False,False
0.8868056,468,6678.923346,True,False,False
3.7162855,1999,6745.495505,False,False,False
2.3420746,1385,6789.322379,True,False,False
2.1226766,1999,6850.380557,False,False,False
2.8868928,1999,6905.780971,False,False,False
1.5691322,1999,6967.081458,False,False,False
1.720657,1999,7031.023069,False,False,False
2.5916796,1999,7087.908816,False,False,False
1.1300409,586,7108.157429,True,False,False
2.5957096,1999,7170.991131,False,False,False
-1.2562462,1999,7233.658781,False,False,False
0.5430675,275,7241.86083,True,False,False
3.4020133,1999,7293.393405,False,False,False
-5.0607295,1999,7356.74467,False,False,False
-0.5294731,627,7378.094458,True,False,False
1.97848,809,7403.7638,True,False,False
1.424293,1999,7464.67073,False,False,False
-4.578927,1999,7527.171407,False,False,False
-2.3724678,940,7557.588743,True,False,False
4.033976,1222,7597.089598,True,False,False
8.367938,1167,7632.431061,True,False,False
2.3141015,1999,7694.733308,False,False,False
-1.4972237,698,7714.315068,True,False,False
4.153229,1999,7770.308487,False,False,False
-1.2765597,1999,7836.917855,False,False,False
4.6645727,1694,7891.726466,True,False,False
3.9046705,663,7913.845384,True,False,False
-0.50103027,1999,7976.210348,False,False,False
0.4910268,479,7991.28664,True,False,False
0.18933633,1999,8055.02002,False,False,False
-1.3998826,1999,8122.364002,False,False,False
-0.16937444,1999,8189.656048,False,False,False
-0.5511335,1999,8257.214618,False,False,False
2.0449831,347,8269.297334,True,False,False
1.3132751,713,8292.871938,True,False,False
2.9194362,498,8309.365985,True,False,False
0.26207036,1999,8373.338615,False,False,False
3.1764286,663,8395.924443,True,False,False
8.157083,903,8425.614567,True,False,False
1.6293054,957,8456.465742,True,False,False
6.117261,663,8477.715231,True,False,False
-2.9341915,714,8501.991865,True,False,False
-0.15060471,1999,8564.573941,False,False,False
